qid,source,page,difficulty,domain_code,domain,skill_code,skill,external_id,ibn,uid
002dba45,medium,1,M,H,Algebra,H.C.,Linear equations in two variables,65ac5dc5-af25-4ecf-8562-a346047750a6,,013b49a8-e0e3-4cde-8913-5016b184fb62
f224df07,medium,2,M,H,Algebra,H.E.,Linear inequalities in one or two variables,,022222-DC,016d3534-2566-4551-af72-a61ad0c95b5f
cb8f449f,medium,3,M,H,Algebra,H.D.,Systems of two linear equations in two variables,4e7c1fd2-b8e0-4864-a9e1-fac7ddb8768e,,02672cb2-7340-4344-8dc8-257d5159823b
548a4929,medium,4,M,H,Algebra,H.B.,Linear functions,,061031-DC,03c3cdb9-a83e-4ba5-b117-81835f5be948
e62cfe5f,medium,5,M,H,Algebra,H.B.,Linear functions,c402e062-772a-4851-8881-815b27a34ef3,,06868720-2332-4e01-b188-4f2342bc60a9
01682aa5,medium,6,M,H,Algebra,H.C.,Linear equations in two variables,,089059-DC,06f7c0c4-b7b3-4e9d-8e26-2a0d52fc0749
9b0a4eae,medium,7,M,H,Algebra,H.C.,Linear equations in two variables,2bcaf8ce-b786-4417-943f-f7be9c6c786a,,0752e3f1-5acc-45cf-883e-5a93989a9531
e3cf671f,medium,8,M,H,Algebra,H.B.,Linear functions,5db820a8-aa1d-47ca-a55d-3fe59f2dadb8,,085f9e1d-b449-454e-9e38-6224fda4717c
e723bd67,medium,9,M,H,Algebra,H.E.,Linear inequalities in one or two variables,,066058-DC,086da430-fcc3-492f-bc7a-4b448633701b
a5834ea4,medium,10,M,H,Algebra,H.B.,Linear functions,,120708-DC,08b235cc-8434-4790-b9e2-a842334b4c7d
bf4a8b6a,medium,11,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,026805-DC,09d0a830-df5d-47f6-b937-a60912934f83
0451d754,medium,12,M,H,Algebra,H.C.,Linear equations in two variables,,052309-DC,0a42c22b-d42a-4bd4-94b8-d88023b62392
110e35f4,medium,13,M,H,Algebra,H.A.,Linear equations in one variable,,082902-DC,0b44a2f2-d99a-470a-ab51-89719dd59523
df79d326,medium,14,M,H,Algebra,H.C.,Linear equations in two variables,,072202-DC,0d0ff806-1434-4652-ab32-29c8f2706087
56d16b07,medium,15,M,H,Algebra,H.B.,Linear functions,,048101-DC,0e02a0ea-e180-480d-902a-f9e0e0b5dd22
7192da28,medium,16,M,H,Algebra,H.B.,Linear functions,01c1fef1-4e3a-4f62-9b38-04754172817c,,0e16747c-cff6-4617-8f47-602c4c4fdef4
11f34e96,medium,17,M,H,Algebra,H.B.,Linear functions,4c0502ff-914f-4a6b-b851-af3a27868137,,0e2ceca2-299b-4c06-9b98-cb06b10f658d
43a593d5,medium,18,M,H,Algebra,H.B.,Linear functions,,051706-DC,0eb7c659-1087-4890-8f88-8755ed3a9494
94089020,medium,19,M,H,Algebra,H.C.,Linear equations in two variables,,050104-DC,0ef7f8cf-860d-47d4-a46a-51c1f7597e0f
a0925c29,medium,20,M,H,Algebra,H.A.,Linear equations in one variable,,032907-DC,0f1c39c4-0d24-4e40-a5af-92f68658f227
13f6a8e7,medium,21,M,H,Algebra,H.B.,Linear functions,054df126-12d5-48a6-85c8-879530fd9d27,,0f3d744c-8e77-47bc-9372-d4994807e9a0
749483c8,medium,22,M,H,Algebra,H.B.,Linear functions,,053102-DC,101199ad-24d9-4941-8cd6-74b83dc6fb9c
87e69a36,medium,23,M,H,Algebra,H.C.,Linear equations in two variables,,076208-DC,10e76f07-74de-4b50-95c2-ad9c09134827
01366d32,medium,24,M,H,Algebra,H.C.,Linear equations in two variables,190319e0-52b7-47a6-94e2-058312f19477,,11063e47-401c-460d-a683-4056304c0dd1
5c7724aa,medium,25,M,H,Algebra,H.A.,Linear equations in one variable,009021e4-bf0b-44c8-824c-ef459e0fda4c,,118333ed-66d3-4c20-b34f-0406636016af
6432a5a6,medium,26,M,H,Algebra,H.E.,Linear inequalities in one or two variables,,059704-DC,1187c46b-9575-4111-b3d6-a8fc2f9e05bc
83a28456,medium,27,M,H,Algebra,H.C.,Linear equations in two variables,,078411-DC,12305f9d-e7da-4dc9-a19f-3dfb100f5456
a7b903ec,medium,28,M,H,Algebra,H.C.,Linear equations in two variables,,050209-DC,13a4dde2-5958-48a6-bd4e-f70ba8ac7c2e
82569425,medium,29,M,H,Algebra,H.A.,Linear equations in one variable,6ee7e945-7e6d-4795-a66b-b32d16060736,,1462a979-e0be-419a-b3ea-2e5507feb58e
728839dc,medium,30,M,H,Algebra,H.B.,Linear functions,691db9a3-a370-4442-a153-3edbb5060a50,,1517c0bf-e357-4466-af15-f53623bcbd47
f8e805ff,medium,31,M,H,Algebra,H.A.,Linear equations in one variable,ae6f5376-fbb3-47af-8b22-c57d16426b7c,,15828917-d3e4-4bf7-a819-c6b0b2dd94a0
e8470e90,medium,32,M,H,Algebra,H.C.,Linear equations in two variables,7a69ee3b-bd1c-4733-ac88-2d53a4c6c6dc,,16a56618-173f-4f64-a71e-5b05f7a5dd04
24b0678d,medium,33,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,117118-DC,17abe430-b72e-43a9-85f1-9ecad9f531bf
2fe841a1,medium,34,M,H,Algebra,H.D.,Systems of two linear equations in two variables,456a651d-2b5a-4ced-8a53-bbe9eecb844d,,17d4d867-c370-45f8-b1c5-774e8fa4cf24
6792f163,medium,35,M,H,Algebra,H.A.,Linear equations in one variable,,031521-DC,18cd31aa-257d-49a0-a2a4-8e39b7e839cb
6f665db7,medium,36,M,H,Algebra,H.B.,Linear functions,,042411-DC,18ff74a0-7495-4630-8e91-1b9b34de0a5c
5935cbf3,medium,37,M,H,Algebra,H.D.,Systems of two linear equations in two variables,4a2e1c2a-d8be-490b-8390-47a840e3a91e,,1a02cdfc-3f36-41b3-b211-2d755e60638a
08e61e3e,medium,38,M,H,Algebra,H.B.,Linear functions,,082104-DC,1a53f578-e59d-4b02-8f2d-7201ef98496e
873ffda6,medium,39,M,H,Algebra,H.C.,Linear equations in two variables,,090407-DC,1a6a8d6c-eb85-4ff7-a319-0706a4ceeb1e
